timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1729130030612,919,Demo.qa,200,OK,Usuarios 1-11,text,true,,3827,232,236,236,https://demoqa.com/elements,350,0,176
1729130030612,350,Demo.qa-0,301,Moved Permanently,Usuarios 1-11,text,true,,391,116,236,236,http://demoqa.com/elements,350,0,176
1729130030963,568,Demo.qa-1,200,OK,Usuarios 1-11,text,true,,3436,116,236,236,https://demoqa.com/elements,568,0,355
1729130030599,932,Demo.qa,200,OK,Usuarios 1-8,text,true,,3827,232,236,236,https://demoqa.com/elements,354,0,183
1729130030599,354,Demo.qa-0,301,Moved Permanently,Usuarios 1-8,text,true,,391,116,236,236,http://demoqa.com/elements,354,0,183
1729130030580,951,Demo.qa,200,OK,Usuarios 1-2,text,true,,3827,232,236,236,https://demoqa.com/elements,358,0,181
1729130030953,578,Demo.qa-1,200,OK,Usuarios 1-8,text,true,,3436,116,236,236,https://demoqa.com/elements,578,0,365
1729130030580,358,Demo.qa-0,301,Moved Permanently,Usuarios 1-2,text,true,,391,116,236,236,http://demoqa.com/elements,358,0,181
1729130030939,592,Demo.qa-1,200,OK,Usuarios 1-2,text,true,,3436,116,236,236,https://demoqa.com/elements,592,0,380
1729130030587,964,Demo.qa,200,OK,Usuarios 1-5,text,true,,3827,232,240,240,https://demoqa.com/elements,353,0,189
1729130030587,353,Demo.qa-0,301,Moved Permanently,Usuarios 1-5,text,true,,391,116,240,240,http://demoqa.com/elements,353,0,189
1729130030941,610,Demo.qa-1,200,OK,Usuarios 1-5,text,true,,3436,116,240,240,https://demoqa.com/elements,610,0,382
1729130030597,954,Demo.qa,200,OK,Usuarios 1-7,text,true,,3827,232,240,240,https://demoqa.com/elements,360,0,188
1729130030597,360,Demo.qa-0,301,Moved Permanently,Usuarios 1-7,text,true,,391,116,240,240,http://demoqa.com/elements,360,0,188
1729130030958,593,Demo.qa-1,200,OK,Usuarios 1-7,text,true,,3436,116,240,240,https://demoqa.com/elements,593,0,365
1729130030580,972,Demo.qa,200,OK,Usuarios 1-3,text,true,,3827,232,240,240,https://demoqa.com/elements,391,0,211
1729130030580,391,Demo.qa-0,301,Moved Permanently,Usuarios 1-3,text,true,,391,116,240,240,http://demoqa.com/elements,391,0,211
1729130030971,581,Demo.qa-1,200,OK,Usuarios 1-3,text,true,,3436,116,240,240,https://demoqa.com/elements,581,0,359
1729130030608,945,Demo.qa,200,OK,Usuarios 1-10,text,true,,3827,232,240,240,https://demoqa.com/elements,336,0,169
1729130030608,336,Demo.qa-0,301,Moved Permanently,Usuarios 1-10,text,true,,391,116,240,240,http://demoqa.com/elements,336,0,169
1729130030945,608,Demo.qa-1,200,OK,Usuarios 1-10,text,true,,3436,116,240,240,https://demoqa.com/elements,608,0,385
1729130030583,986,Demo.qa,200,OK,Usuarios 1-4,text,true,,3827,232,244,244,https://demoqa.com/elements,377,0,203
1729130030583,377,Demo.qa-0,301,Moved Permanently,Usuarios 1-4,text,true,,391,116,244,244,http://demoqa.com/elements,377,0,203
1729130030961,608,Demo.qa-1,200,OK,Usuarios 1-4,text,true,,3436,116,244,244,https://demoqa.com/elements,608,0,380
1729130030580,990,Demo.qa,200,OK,Usuarios 1-1,text,true,,3827,232,244,244,https://demoqa.com/elements,351,0,177
1729130030580,351,Demo.qa-0,301,Moved Permanently,Usuarios 1-1,text,true,,391,116,244,244,http://demoqa.com/elements,351,0,177
1729130030931,639,Demo.qa-1,200,OK,Usuarios 1-1,text,true,,3436,116,244,244,https://demoqa.com/elements,639,0,410
1729130030608,962,Demo.qa,200,OK,Usuarios 1-9,text,true,,3827,232,244,244,https://demoqa.com/elements,345,0,174
1729130030608,345,Demo.qa-0,301,Moved Permanently,Usuarios 1-9,text,true,,391,116,244,244,http://demoqa.com/elements,345,0,174
1729130030953,617,Demo.qa-1,200,OK,Usuarios 1-9,text,true,,3436,116,244,244,https://demoqa.com/elements,617,0,388
