timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1729559060740,474,Store,200,OK,Usuarios 1-1,text,true,,28041,119,5,5,http://opencart.abstracta.us/,350,0,161
1729559061844,429,Store,200,OK,Usuarios 1-4,text,true,,28041,119,5,5,http://opencart.abstracta.us/,303,0,128
1729559062193,421,Store,200,OK,Usuarios 1-2,text,true,,28041,119,5,5,http://opencart.abstracta.us/,295,0,126
1729559062460,418,Store,200,OK,Usuarios 1-3,text,true,,28041,119,5,5,http://opencart.abstracta.us/,295,0,124
1729559062561,423,Store,200,OK,Usuarios 1-5,text,true,,28041,119,5,5,http://opencart.abstracta.us/,298,0,126
1729559063373,299,StorePhone,200,OK,Usuarios 1-1,text,true,,31104,159,5,5,http://opencart.abstracta.us/index.php?route=product/category&path=24,176,0,0
1729559064241,303,StorePhone,200,OK,Usuarios 1-3,text,true,,31104,159,5,5,http://opencart.abstracta.us/index.php?route=product/category&path=24,180,0,0
1729559064285,299,StorePhone,200,OK,Usuarios 1-2,text,true,,31104,159,5,5,http://opencart.abstracta.us/index.php?route=product/category&path=24,175,0,0
1729559065110,295,StorePhone,200,OK,Usuarios 1-5,text,true,,31104,159,5,5,http://opencart.abstracta.us/index.php?route=product/category&path=24,170,0,0
1729559065681,300,StorePhone,200,OK,Usuarios 1-4,text,true,,31104,159,5,5,http://opencart.abstracta.us/index.php?route=product/category&path=24,174,0,0
1729559065775,308,StoreLaptos,200,OK,Usuarios 1-3,text,true,,35784,159,5,5,http://opencart.abstracta.us/index.php?route=product/category&path=18,184,0,0
1729559067209,317,StoreLaptos,200,OK,Usuarios 1-4,text,true,,35784,159,4,4,http://opencart.abstracta.us/index.php?route=product/category&path=18,191,0,0
1729559067337,307,StoreLaptos,200,OK,Usuarios 1-1,text,true,,35784,159,3,3,http://opencart.abstracta.us/index.php?route=product/category&path=18,178,0,0
1729559067622,307,StoreLaptos,200,OK,Usuarios 1-2,text,true,,35784,159,2,2,http://opencart.abstracta.us/index.php?route=product/category&path=18,183,0,0
1729559069172,309,StoreLaptos,200,OK,Usuarios 1-5,text,true,,35784,159,1,1,http://opencart.abstracta.us/index.php?route=product/category&path=18,184,0,0
